Время начала работы программы: 04.08.2020 15:30:14

Количество устройств на шине: 1
Связь с модулем МВ26.20 установлена
Старт обмена МКИО. Номер калана: А Адрес ОУ: 1
КШ Ф2 ПА: 1
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОС: 0800 СД: 007a 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 cfa2 
ОС: 0800 СД: 007b 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 339f 
ОС: 0800 СД: 007c 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 472a 
ОС: 0800 СД: 007e 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 ff53 
ОС: 0800 СД: 007f 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 036e 
ОС: 0800 СД: 0081 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 ff77 
ОС: 0800 СД: 0082 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 bb33 
ОС: 0800 СД: 0084 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 33bb 
ОС: 0800 СД: 0085 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 cf86 
ОС: 0800 СД: 0086 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 8bc2 
ОС: 0800 СД: 0088 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 62a8 
ОС: 0800 СД: 0089 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 9e95 
ОС: 0800 СД: 008b 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 26ec 
ОС: 0800 СД: 008c 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 5259 
ОС: 0800 СД: 008e 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 ea20 
ОС: 0800 СД: 008f 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 161d 
ОС: 0800 СД: 0090 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 c08e 
ОС: 0800 СД: 0092 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 78f7 
ОС: 0800 СД: 0093 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 84ca 
ОС: 0800 СД: 0095 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 0c42 
ОС: 0800 СД: 0096 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 4806 
ОС: 0800 СД: 0098 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 a16c 
ОС: 0800 СД: 0099 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 5d51 
ОС: 0800 СД: 009a 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 1915 
ОС: 0800 СД: 009c 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 919d 
ОС: 0800 СД: 009d 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 6da0 
ОС: 0800 СД: 009f 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 d5d9 
ОС: 0800 СД: 00a0 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 c4c1 
ОС: 0800 СД: 00a2 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 7cb8 
ОС: 0800 СД: 00a3 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 8085 
ОС: 0800 СД: 00a4 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 f430 
ОС: 0800 СД: 00a6 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 4c49 
ОС: 0800 СД: 00a7 1f9b 021c 000f 060e ff00 ff00 ff00 ff00 ff00 20b5 
ОС: 0800 СД: 00a9 1f9b 021c 000f 060e ff00 ff00 ff00 ff00 ff00 c9df 
ОС: 0800 СД: 00aa 1f9b 021c 000f 060e ff00 ff00 ff00 ff00 ff00 8d9b 
ОС: 0800 СД: 00ac 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 95d2 
ОС: 0800 СД: 00ad 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 69ef 
ОС: 0800 СД: 00ae 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 2dab 
ОС: 0800 СД: 00b0 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 0705 
ОС: 0800 СД: 00b1 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 fb38 
ОС: 0800 СД: 00b3 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 4341 
ОС: 0800 СД: 00b4 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 37f4 
ОС: 0800 СД: 00b6 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 8f8d 
ОС: 0800 СД: 00b7 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 73b0 
ОС: 0800 СД: 00b8 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 66e7 
ОС: 0800 СД: 00ba 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 de9e 
ОС: 0800 СД: 00bb 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 22a3 
ОС: 0800 СД: 00bd 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 aa2b 
ОС: 0800 СД: 00be 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 ee6f 
ОС: 0800 СД: 00bf 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 1252 
ОС: 0800 СД: 00c1 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 3062 
ОС: 0800 СД: 00c2 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 7426 
ОС: 0800 СД: 00c4 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 fcae 
ОС: 0800 СД: 00c5 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 0093 
ОС: 0800 СД: 00c7 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 b8ea 
ОС: 0800 СД: 00c8 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 adbd 
ОС: 0800 СД: 00c9 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 5180 
ОС: 0800 СД: 00cb 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 e9f9 
ОС: 0800 СД: 00cc 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 9d4c 
ОС: 0800 СД: 00ce 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 2535 
ОС: 0800 СД: 00cf 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 d908 
ОС: 0800 СД: 00d1 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 f3a6 
ОС: 0800 СД: 00d2 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 b7e2 
ОС: 0800 СД: 00d3 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 4bdf 
ОС: 0800 СД: 00d5 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 c357 
ОС: 0800 СД: 00d6 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 8713 
ОС: 0800 СД: 00d8 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 6e79 
ОС: 0800 СД: 00d9 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 9244 
ОС: 0800 СД: 00db 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 2a3d 
ОС: 0800 СД: 00dc 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 5e88 
ОС: 0800 СД: 00dd 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 a2b5 
ОС: 0800 СД: 00df 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 1acc 
ОС: 0800 СД: 00e0 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 0bd4 
ОС: 0800 СД: 00e2 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 b3ad 
ОС: 0800 СД: 00e3 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 4f90 
ОС: 0800 СД: 00e5 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 c718 
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОУ не отвечает
ОС: 0800 СД: 2422 50a4 0926 1a80 0302 22a9 0964 ea8a 6d00 1c08 23f8 
Ошибка CRC16. Рассчитанная CRC16: 7a4d
ОС: 0800 СД: 0000 1fc1 0000 0000 0000 ff00 ff00 ff00 ff00 ff00 790d 
Соединение с ОУ установлено
КШ Ф1 ПА: 1 СД: 0003 0002 0000 0000 0000 3747 
КШ Ф2 ПА: 1
ОС: 0800 СД: 0002 1ff8 031c 000f 060e ff00 ff00 ff00 ff00 ff00 8bc2 
ОС: 0800 СД: 0004 1fd9 031c 000f 060e ff00 ff00 ff00 ff00 ff00 5902 
ОС: 0800 СД: 0005 1fd9 031c 000f 060e ff00 ff00 ff00 ff00 ff00 a53f 
ОС: 0800 СД: 0007 1fd9 031c 000f 060e ff00 ff00 ff00 ff00 ff00 1d46 
ОС: 0800 СД: 0008 1fd9 031c 000f 060e ff00 ff00 ff00 ff00 ff00 0811 
ОС: 0800 СД: 0009 1fd9 031c 000f 060e ff00 ff00 ff00 ff00 ff00 f42c 
ОС: 0800 СД: 000b 1fd9 031c 000f 060e ff00 ff00 ff00 ff00 ff00 4c55 
ОС: 0800 СД: 000c 1fd9 031c 000f 060e ff00 ff00 ff00 ff00 ff00 38e0 
ОС: 0800 СД: 000e 1fd9 031c 000f 060e ff00 ff00 ff00 ff00 ff00 8099 
ОС: 0800 СД: 000f 1fd9 031c 000f 060e ff00 ff00 ff00 ff00 ff00 7ca4 
ОС: 0800 СД: 0011 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 e29a 
ОС: 0800 СД: 0012 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 a6de 
ОС: 0800 СД: 0013 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 5ae3 
ОС: 0800 СД: 0015 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 d26b 
ОС: 0800 СД: 0016 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 962f 
ОС: 0800 СД: 0018 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 7f45 
ОС: 0800 СД: 0019 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 8378 
ОС: 0800 СД: 001b 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 3b01 
ОС: 0800 СД: 001c 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 4fb4 
ОС: 0800 СД: 001d 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 b389 
ОС: 0800 СД: 001f 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 0bf0 
ОС: 0800 СД: 0020 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 1ae8 
ОС: 0800 СД: 0022 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 a291 
ОС: 0800 СД: 0023 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 5eac 
ОС: 0800 СД: 0025 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 d624 
ОС: 0800 СД: 0026 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 9260 
ОС: 0800 СД: 0027 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 6e5d 
ОС: 0800 СД: 0029 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 8737 
ОС: 0800 СД: 002a 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 c373 
ОС: 0800 СД: 002c 1f9b 031c 000f 060e ff00 ff00 ff00 ff00 ff00 4bfb 
